-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (11570, 16, 250) Train Lable: (11570, 1)
Test Data: (457, 16, 250) Test Lable: (457, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 6242
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 5785
Number of 'non sick' samples: 6242
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.4950873129947864
Standard Daviation in Data Set: 0.06911272181207158
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 5785
Number of 'non sick' samples: 5785
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.4945430999201878
Standard Daviation in Data Set: 0.06901380343995726
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 457
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.5088653114041893
Standard Daviation in Data Set: 0.07017943681730357
epoch: 0, lr: 0.01, accuracy: tensor(0.5000, device='cuda:0'), loss: 0.6931840181350708, valid accuracy: tensor(0.0022, device='cuda:0')
epoch: 1, lr: 0.01, accuracy: tensor(0.4953, device='cuda:0'), loss: 0.6930841207504272, valid accuracy: tensor(0.9584, device='cuda:0')
epoch: 2, lr: 0.01, accuracy: tensor(0.5004, device='cuda:0'), loss: 0.6930030584335327, valid accuracy: tensor(0.9497, device='cuda:0')
epoch: 3, lr: 0.01, accuracy: tensor(0.5059, device='cuda:0'), loss: 0.693278968334198, valid accuracy: tensor(0.0591, device='cuda:0')
epoch: 4, lr: 0.01, accuracy: tensor(0.5010, device='cuda:0'), loss: 0.693076491355896, valid accuracy: tensor(0.1444, device='cuda:0')
epoch: 5, lr: 0.01, accuracy: tensor(0.5046, device='cuda:0'), loss: 0.6931057572364807, valid accuracy: tensor(0.6018, device='cuda:0')
epoch: 6, lr: 0.01, accuracy: tensor(0.5025, device='cuda:0'), loss: 0.6931765079498291, valid accuracy: tensor(0.7681, device='cuda:0')
epoch: 7, lr: 0.01, accuracy: tensor(0.5143, device='cuda:0'), loss: 0.6929228901863098, valid accuracy: tensor(0.5996, device='cuda:0')
epoch: 8, lr: 0.01, accuracy: tensor(0.5034, device='cuda:0'), loss: 0.6929236650466919, valid accuracy: tensor(0.0722, device='cuda:0')
epoch: 9, lr: 0.01, accuracy: tensor(0.4996, device='cuda:0'), loss: 0.6930479407310486, valid accuracy: tensor(0.0066, device='cuda:0')
epoch: 10, lr: 0.01, accuracy: tensor(0.5050, device='cuda:0'), loss: 0.6930108070373535, valid accuracy: tensor(0.4726, device='cuda:0')
epoch: 11, lr: 0.01, accuracy: tensor(0.5155, device='cuda:0'), loss: 0.6928993463516235, valid accuracy: tensor(0.9015, device='cuda:0')
epoch: 12, lr: 0.01, accuracy: tensor(0.5142, device='cuda:0'), loss: 0.6930080652236938, valid accuracy: tensor(0.8753, device='cuda:0')
epoch: 13, lr: 0.01, accuracy: tensor(0.5054, device='cuda:0'), loss: 0.6931061148643494, valid accuracy: tensor(0.0022, device='cuda:0')
epoch: 14, lr: 0.01, accuracy: tensor(0.5117, device='cuda:0'), loss: 0.6928181648254395, valid accuracy: tensor(0.8337, device='cuda:0')
epoch: 15, lr: 0.01, accuracy: tensor(0.5067, device='cuda:0'), loss: 0.6931493282318115, valid accuracy: tensor(0.9475, device='cuda:0')
epoch: 16, lr: 0.01, accuracy: tensor(0.5073, device='cuda:0'), loss: 0.6931254863739014, valid accuracy: tensor(0., device='cuda:0')
epoch: 17, lr: 0.01, accuracy: tensor(0.4997, device='cuda:0'), loss: 0.692965030670166, valid accuracy: tensor(0.0678, device='cuda:0')
epoch: 18, lr: 0.01, accuracy: tensor(0.5106, device='cuda:0'), loss: 0.6934837102890015, valid accuracy: tensor(0.9956, device='cuda:0')
epoch: 19, lr: 0.01, accuracy: tensor(0.5159, device='cuda:0'), loss: 0.693059504032135, valid accuracy: tensor(0.0088, device='cuda:0')
epoch: 20, lr: 0.01, accuracy: tensor(0.4997, device='cuda:0'), loss: 0.692876398563385, valid accuracy: tensor(0.0153, device='cuda:0')
epoch: 21, lr: 0.01, accuracy: tensor(0.5083, device='cuda:0'), loss: 0.6930361986160278, valid accuracy: tensor(0.9234, device='cuda:0')
epoch: 22, lr: 0.01, accuracy: tensor(0.5301, device='cuda:0'), loss: 0.693052351474762, valid accuracy: tensor(0.0722, device='cuda:0')
epoch: 23, lr: 0.01, accuracy: tensor(0.5131, device='cuda:0'), loss: 0.6927965879440308, valid accuracy: tensor(0.0656, device='cuda:0')
epoch: 24, lr: 0.01, accuracy: tensor(0.5011, device='cuda:0'), loss: 0.6927361488342285, valid accuracy: tensor(0.0284, device='cuda:0')
epoch: 25, lr: 0.01, accuracy: tensor(0.5047, device='cuda:0'), loss: 0.6927323341369629, valid accuracy: tensor(0.0678, device='cuda:0')
epoch: 26, lr: 0.01, accuracy: tensor(0.5235, device='cuda:0'), loss: 0.6931155323982239, valid accuracy: tensor(0.7702, device='cuda:0')
epoch: 27, lr: 0.01, accuracy: tensor(0.5385, device='cuda:0'), loss: 0.6927556395530701, valid accuracy: tensor(0.0460, device='cuda:0')
epoch: 28, lr: 0.01, accuracy: tensor(0.4980, device='cuda:0'), loss: 0.6932080984115601, valid accuracy: tensor(0.0131, device='cuda:0')
epoch: 29, lr: 0.01, accuracy: tensor(0.5182, device='cuda:0'), loss: 0.6925375461578369, valid accuracy: tensor(0.4770, device='cuda:0')
epoch: 30, lr: 0.01, accuracy: tensor(0.5291, device='cuda:0'), loss: 0.6925919055938721, valid accuracy: tensor(0.4092, device='cuda:0')
epoch: 31, lr: 0.01, accuracy: tensor(0.5242, device='cuda:0'), loss: 0.6933870315551758, valid accuracy: tensor(0.0700, device='cuda:0')
epoch: 32, lr: 0.01, accuracy: tensor(0.5290, device='cuda:0'), loss: 0.692984938621521, valid accuracy: tensor(0.7330, device='cuda:0')
epoch: 33, lr: 0.01, accuracy: tensor(0.5292, device='cuda:0'), loss: 0.6920775175094604, valid accuracy: tensor(0.0919, device='cuda:0')
epoch: 34, lr: 0.01, accuracy: tensor(0.5031, device='cuda:0'), loss: 0.6927261352539062, valid accuracy: tensor(0.0088, device='cuda:0')
epoch: 35, lr: 0.01, accuracy: tensor(0.5283, device='cuda:0'), loss: 0.6924116015434265, valid accuracy: tensor(0.5842, device='cuda:0')
epoch: 36, lr: 0.01, accuracy: tensor(0.5401, device='cuda:0'), loss: 0.6924563646316528, valid accuracy: tensor(0.2385, device='cuda:0')
epoch: 37, lr: 0.01, accuracy: tensor(0.5458, device='cuda:0'), loss: 0.6924113035202026, valid accuracy: tensor(0.3260, device='cuda:0')
